sr_type,target_days,priority,sla_target_source
"311 INFORMATION ONLY CALL",1,Low,Informational — no resolution required
"Abandoned Vehicle Complaint",7,High,City service standard estimate
"Aircraft Noise Complaint",7,Low,Quality of life complaint standard
"Alley Light Out Complaint",3,Medium,Infrastructure lighting standard
"Alley Pothole Complaint",7,High,Infrastructure repair standard
"Alley Sewer Inspection Request",7,Medium,Infrastructure inspection SLA
"Animal In Trap Complaint",3,Medium,Animal control response standard
"Bee/Wasp Removal",3,Medium,Public health baseline assumption
"Bicycle Request/Complaint",7,Medium,Transportation service standard
"Blue Recycling Cart",3,Medium,Sanitation service standard
"Buildings - Plumbing Violation",14,Low,Inspection backlog estimate
"Building Violation",14,Low,Inspection backlog estimate
"Bungalow/Vintage Home Information Request",7,Low,Information request standard
"Business Complaints",14,Low,Consumer protection standard
"Cab Feedback",7,Low,Service feedback logging standard
"Cable TV Complaint",14,Low,Third-party vendor backlog assumption
"Check for Leak",1,Critical,Emergency infrastructure response
"City Vehicle Sticker Violation",7,Medium,Compliance enforcement standard
"Clean and Green Program Request",30,Low,Urban beautification program standard
"Clean Vacant Lot Request",30,Low,Urban beautification program standard
"Commercial Fire Safety Inspection Request",14,Medium,Inspection backlog estimate
"Consumer Fraud Complaint",30,Low,Consumer protection standard
"Consumer Retail Business Complaint",14,Low,Consumer protection standard
"Coyote Interaction Complaint",7,Medium,Animal control response standard
"Dead Animal Pick-Up Request",3,Medium,Public health baseline assumption
"Dead Bird",1,Critical,Public health Sanitation response
"Divvy Bike Parking Complaint",7,Medium,Transportation service standard
"E-Scooter",7,Low,Micromobility standard
"E-Scooter Parking Complaint",7,Medium,Transportation service standard
"Extreme Weather Notification",1,Low,Informational notification standard
"Finance Parking Code Enforcement Review",14,Low,Administrative review standard
"Fly Dumping Complaint",7,Medium,Environmental enforcement standard
"Garbage Cart Maintenance",3,Medium,Sanitation service standard
"Graffiti Removal Request",5,Medium,Urban cleanup benchmark assumption
"Home Buyer Program Info Request",14,Low,Information request standard
"Ice and Snow Removal Request",1,Critical,Weather emergency response
"Inaccurate Fuel Pump Complaint",14,Low,Consumer protection standard
"Inaccurate Retail Scales Complaint",14,Low,Consumer protection standard
"Inspect Public Way Request",14,Medium,Inspection backlog estimate
"Lead Inspection Request",7,Medium,Health inspection standard
"Licensed Pharmaceutical Representative Complaint",30,Low,Regulatory compliance standard
"Liquor Establishment Complaint",14,Low,Regulatory enforcement standard
"Low Water Pressure Complaint",1,Critical,Emergency infrastructure response
"Missed Garbage Pick-Up Complaint",3,Medium,Sanitation service standard
"No Air Conditioning",1,Critical,Emergency health and safety concern
"No Building Permit and Construction Violation",14,Low,Inspection backlog estimate
"No Solicitation Complaint",7,Low,Regulatory enforcement standard
"No Water Complaint",1,Critical,Emergency infrastructure response
"Nuisance Animal Complaint",7,Medium,Animal control response standard
"Open Fire Hydrant Complaint",1,Critical,Emergency public safety hazard
"Outdated Merchandise Complaint",14,Low,Consumer protection standard
"Paid sick leave violation",30,Low,Regulatory compliance standard
"Pavement Cave-In Inspection Request",1,Critical,Emergency infrastructure response
"Petcoke Dust Complaint",7,Medium,Environmental enforcement standard
"Pet Wellness Check Request",7,Medium,Animal control response standard
"Porch Inspection Request",14,Medium,Inspection backlog estimate
"Pothole in Street Complaint",7,High,Infrastructure repair standard
"Protected Bike Lane - Debris Removal",7,Medium,Transportation service standard
